0,1,2,3,4,5,6,7,8,9,10
1.0000004,0.70109206,0.71966684,0.16987671,0.20642899,0.122439556,0.25587612,0.4086037,0.28903657,0.38758367,0.40102106
0.70109206,1.0000001,0.6641465,0.26494926,0.20458528,0.1496189,0.19488072,0.2920747,0.2855639,0.30799514,0.41063303
0.71966684,0.6641465,0.99999976,0.20648777,0.21195601,0.1752615,0.27996266,0.34188592,0.26882678,0.35107237,0.62105966
0.16987671,0.26494926,0.20648777,1.0,0.48770094,0.07869258,0.10593965,0.091107756,0.22892559,0.16562691,0.09173787
0.20642899,0.20458528,0.21195601,0.48770094,1.0000002,0.032559052,0.116784655,0.10003415,0.16774836,0.24715169,0.2016701
0.122439556,0.1496189,0.1752615,0.07869258,0.032559052,1.0000002,0.1268342,0.05366935,0.11421437,0.11047143,0.1465266
0.25587612,0.19488072,0.27996266,0.10593965,0.116784655,0.1268342,1.0000005,0.6694801,0.77797663,0.6635846,0.53821564
0.4086037,0.2920747,0.34188592,0.091107756,0.10003415,0.05366935,0.6694801,0.9999995,0.65805435,0.693926,0.5555662
0.28903657,0.28556383,0.2688268,0.22892556,0.16774836,0.11421435,0.77797663,0.6580544,0.99999964,0.7583356,0.49146375
0.38758367,0.30799514,0.35107243,0.1656269,0.2471517,0.11047143,0.6635845,0.6939259,0.7583356,1.0000002,0.52791166
0.40102106,0.41063297,0.62105954,0.09173787,0.2016701,0.14652662,0.5382155,0.5555662,0.49146375,0.52791166,1.0000001
